episode_no,success,spl,distance_to_goal,steps,goal_name
1,0.0,0.0,7.461477756500244,0,toilet
2,1.0,0.39499731878566163,0.06980367749929428,0,sofa
3,1.0,0.5039963035588532,0.025231746956706047,0,bed
4,0.0,0.0,7.056560516357422,0,sofa
5,0.0,0.0,5.680421829223633,0,sofa
6,1.0,0.8373718652804761,0.0422239750623703,0,chair
7,0.0,0.0,1.7121338844299316,0,chair
8,0.0,0.0,5.450338840484619,0,chair
9,1.0,0.3032301765996602,0.04735942929983139,0,chair
10,0.0,0.0,3.613283395767212,0,chair
11,1.0,0.7008899169501521,0.7779350876808167,0,chair
12,0.0,0.0,4.398110389709473,0,chair
13,0.0,0.0,4.124997138977051,0,toilet
14,1.0,0.5387156657560943,0.03843536600470543,0,bed
15,0.0,0.0,6.552438735961914,0,chair
16,0.0,0.0,5.3929877281188965,0,chair
17,0.0,0.0,3.133181095123291,0,toilet
18,0.0,0.0,0.08278842270374298,0,sofa
19,0.0,0.0,5.854271411895752,0,plant
20,0.0,0.0,5.139300346374512,0,chair
21,0.0,0.0,2.4031832218170166,0,chair
22,0.0,0.0,9.4149808883667,0,chair
23,0.0,0.0,4.174642086029053,0,chair
24,0.0,0.0,8.727293968200684,0,chair
25,0.0,0.0,7.891354084014893,0,chair
26,0.0,0.0,12.681231498718262,0,chair
27,0.0,0.0,10.196883201599121,0,chair
28,0.0,0.0,9.32892894744873,0,plant
29,0.0,0.0,13.506851196289062,0,tv_monitor
30,0.0,0.0,14.392221450805664,0,tv_monitor
31,0.0,0.0,14.41016674041748,0,tv_monitor
32,0.0,0.0,10.562862396240234,0,chair
33,0.0,0.0,11.69265079498291,0,sofa
34,0.0,0.0,8.536685943603516,0,sofa
35,0.0,0.0,5.54311990737915,0,toilet
36,0.0,0.0,5.967712879180908,0,toilet
37,1.0,0.5808727542354986,0.20099575817584991,0,sofa
38,0.0,0.0,11.8616304397583,0,chair
39,0.0,0.0,11.778526306152344,0,bed
40,0.0,0.0,8.348445892333984,0,tv_monitor
41,0.0,0.0,19.818714141845703,0,chair
42,0.0,0.0,6.733733654022217,0,chair
43,0.0,0.0,7.069589614868164,0,sofa
44,0.0,0.0,5.26001501083374,0,sofa
45,0.0,0.0,8.555902481079102,0,sofa
46,0.0,0.0,4.287407875061035,0,sofa
47,0.0,0.0,4.391063213348389,0,plant
48,0.0,0.0,7.3926825523376465,0,plant
49,0.0,0.0,1.6471199989318848,0,chair
50,0.0,0.0,6.340505123138428,0,chair
51,0.0,0.0,6.829955101013184,0,sofa
52,0.0,0.0,5.149381637573242,0,tv_monitor
53,0.0,0.0,7.77459716796875,0,chair
54,0.0,0.0,5.676846027374268,0,chair
55,0.0,0.0,4.347150802612305,0,sofa
56,0.0,0.0,11.131402015686035,0,chair
57,0.0,0.0,2.9570794105529785,0,sofa
58,0.0,0.0,4.289056777954102,0,bed
59,1.0,0.7207851549560583,0.03665371611714363,0,sofa
60,1.0,0.7725304666092201,0.038924843072891235,0,bed
61,0.0,0.0,4.030009746551514,0,plant
62,1.0,0.426389371677093,0.03635026142001152,0,chair
63,0.0,0.0,4.155803680419922,0,chair
64,0.0,0.0,3.915645122528076,0,chair
65,1.0,0.53215649817301,0.050696808844804764,0,bed
66,0.0,0.0,4.26368522644043,0,chair
67,0.0,0.0,3.444261312484741,0,chair
68,1.0,0.10370177235787208,0.546360194683075,0,chair
69,0.0,0.0,4.547485828399658,0,chair
70,0.0,0.0,4.630707740783691,0,chair
71,0.0,0.0,8.197439193725586,0,sofa
72,0.0,0.0,7.260033130645752,0,bed
